Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
35,02/03/20,6:00 PM,Delhi,1,0,0.0,0.0,1
39,03/03/20,6:00 PM,Delhi,1,0,0.0,0.0,1
43,04/03/20,6:00 PM,Delhi,1,0,0.0,0.0,1
46,05/03/20,6:00 PM,Delhi,2,0,0.0,0.0,2
52,06/03/20,6:00 PM,Delhi,3,0,0.0,0.0,3
63,07/03/20,6:00 PM,Delhi,3,0,0.0,0.0,3
72,08/03/20,6:00 PM,Delhi,3,0,0.0,0.0,3
85,09/03/20,6:00 PM,Delhi,4,0,0.0,0.0,4
88,10/03/20,6:00 PM,Delhi,4,0,0.0,0.0,4
99,11/03/20,6:00 PM,Delhi,5,0,0.0,0.0,5
110,12/03/20,6:00 PM,Delhi,6,0,0.0,0.0,6
123,13/03/20,6:00 PM,Delhi,6,0,0.0,0.0,6
136,14/03/20,6:00 PM,Delhi,7,0,1.0,1.0,7
150,15/03/20,6:00 PM,Delhi,7,0,2.0,1.0,7
164,16/03/20,6:00 PM,Delhi,7,0,2.0,1.0,7
179,17/03/20,6:00 PM,Delhi,8,0,2.0,1.0,8
194,18/03/20,6:00 PM,Delhi,9,1,2.0,1.0,10
212,19/03/20,6:00 PM,Delhi,11,1,3.0,1.0,12
231,20/03/20,6:00 PM,Delhi,16,1,5.0,1.0,17
251,21/03/20,6:00 PM,Delhi,25,1,5.0,1.0,26
274,22/03/20,6:00 PM,Delhi,28,1,5.0,1.0,29
297,23/03/20,6:00 PM,Delhi,28,1,5.0,1.0,29
320,24/03/20,6:00 PM,Delhi,29,1,6.0,1.0,30
344,25/03/20,6:00 PM,Delhi,30,1,6.0,1.0,31
371,26/03/20,6:00 PM,Delhi,35,1,6.0,1.0,36
398,27/03/20,10:00 AM,Delhi,35,1,6.0,1.0,36
425,28/03/20,6:00 PM,Delhi,38,1,6.0,1.0,39
452,29/03/20,7:30 PM,Delhi,-,-,6.0,2.0,49
479,30/03/20,9:30 PM,Delhi,-,-,6.0,2.0,87
507,31/03/20,8:30 PM,Delhi,-,-,6.0,2.0,97
536,01/04/20,7:30 PM,Delhi,-,-,6.0,2.0,152
565,02/04/20,6:00 PM,Delhi,-,-,8.0,4.0,219
595,03/04/20,6:00 PM,Delhi,-,-,8.0,4.0,219
626,04/04/20,6:00 PM,Delhi,-,-,15.0,6.0,445
656,05/04/20,6:00 PM,Delhi,-,-,18.0,7.0,503
686,06/04/20,6:00 PM,Delhi,-,-,19.0,7.0,523
716,07/04/20,6:00 PM,Delhi,-,-,21.0,7.0,576
747,08/04/20,5:00 PM,Delhi,-,-,21.0,9.0,576
778,09/04/20,5:00 PM,Delhi,-,-,21.0,9.0,669
809,10/04/20,5:00 PM,Delhi,-,-,25.0,13.0,898
840,11/04/20,5:00 PM,Delhi,-,-,25.0,14.0,903
871,12/04/20,5:00 PM,Delhi,-,-,25.0,19.0,1069
902,13/04/20,5:00 PM,Delhi,-,-,27.0,24.0,1154
934,14/04/20,5:00 PM,Delhi,-,-,30.0,28.0,1510
967,15/04/20,5:00 PM,Delhi,-,-,30.0,30.0,1561
1000,16/04/20,5:00 PM,Delhi,-,-,42.0,32.0,1578
1033,17/04/20,5:00 PM,Delhi,-,-,51.0,38.0,1640
1066,18/04/20,5:00 PM,Delhi,-,-,72.0,42.0,1707
1099,19/04/20,5:00 PM,Delhi,-,-,72.0,43.0,1893
1132,20/04/20,5:00 PM,Delhi,-,-,290.0,45.0,2003
1165,21/04/20,5:00 PM,Delhi,-,-,431.0,47.0,2081
1198,22/04/20,5:00 PM,Delhi,-,-,611.0,47.0,2156
1230,23/04/20,5:00 PM,Delhi,-,-,724.0,48.0,2248
1262,24/04/20,5:00 PM,Delhi,-,-,808.0,50.0,2376
1294,25/04/20,5:00 PM,Delhi,-,-,857.0,53.0,2514
1326,26/04/20,5:00 PM,Delhi,-,-,869.0,54.0,2625
1358,27/04/20,5:00 PM,Delhi,-,-,877.0,54.0,2918
1390,28/04/20,5:00 PM,Delhi,-,-,877.0,54.0,3108
1422,29/04/20,5:00 PM,Delhi,-,-,1078.0,54.0,3314
1454,30/04/20,5:00 PM,Delhi,-,-,1092.0,56.0,3439
1486,01/05/20,5:00 PM,Delhi,-,-,1094.0,59.0,3515
1518,02/05/20,5:00 PM,Delhi,-,-,1167.0,61.0,3738
1550,03/05/20,5:00 PM,Delhi,-,-,1256.0,64.0,4122
1582,04/05/20,5:00 PM,Delhi,-,-,1362.0,64.0,4549
1614,05/05/20,5:00 PM,Delhi,-,-,1431.0,64.0,4898
1647,06/05/20,8:00 AM,Delhi,-,-,1468.0,64.0,5104
1680,07/05/20,8:00 AM,Delhi,-,-,1542.0,65.0,5532
1713,08/05/20,8:00 AM,Delhi,-,-,1931.0,66.0,5980
1746,09/05/20,8:00 AM,Delhi,-,-,2020.0,68.0,6318
1779,10/05/20,8:00 AM,Delhi,-,-,2020.0,73.0,6542
1812,11/05/20,8:00 AM,Delhi,-,-,2069.0,73.0,6923
1845,12/05/20,8:00 AM,Delhi,-,-,2129.0,73.0,7233
1878,13/05/20,8:00 AM,Delhi,-,-,2512.0,86.0,7639
1911,14/05/20,8:00 AM,Delhi,-,-,2858.0,106.0,7998
1944,15/05/20,8:00 AM,Delhi,-,-,3045.0,115.0,8470
1977,16/05/20,8:00 AM,Delhi,-,-,3518.0,123.0,8895
2010,17/05/20,8:00 AM,Delhi,-,-,3926.0,129.0,9333
2043,18/05/20,8:00 AM,Delhi,-,-,4485.0,160.0,10054
2076,19/05/20,8:00 AM,Delhi,-,-,4485.0,168.0,10054
2109,20/05/20,8:00 AM,Delhi,-,-,4750.0,168.0,10554
