Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
232,20/03/20,6:00 PM,Gujarat,5,0,0.0,0.0,5
252,21/03/20,6:00 PM,Gujarat,7,0,0.0,0.0,7
275,22/03/20,6:00 PM,Gujarat,18,0,0.0,1.0,18
298,23/03/20,6:00 PM,Gujarat,29,0,0.0,1.0,29
321,24/03/20,6:00 PM,Gujarat,32,1,0.0,1.0,33
345,25/03/20,6:00 PM,Gujarat,37,1,0.0,1.0,38
373,26/03/20,6:00 PM,Gujarat,42,1,0.0,3.0,43
400,27/03/20,10:00 AM,Gujarat,42,1,0.0,3.0,43
427,28/03/20,6:00 PM,Gujarat,44,1,0.0,3.0,45
454,29/03/20,7:30 PM,Gujarat,-,-,1.0,5.0,58
481,30/03/20,9:30 PM,Gujarat,-,-,1.0,6.0,69
509,31/03/20,8:30 PM,Gujarat,-,-,3.0,6.0,73
538,01/04/20,7:30 PM,Gujarat,-,-,5.0,6.0,82
567,02/04/20,6:00 PM,Gujarat,-,-,8.0,7.0,87
597,03/04/20,6:00 PM,Gujarat,-,-,10.0,8.0,95
628,04/04/20,6:00 PM,Gujarat,-,-,14.0,10.0,105
658,05/04/20,6:00 PM,Gujarat,-,-,18.0,11.0,122
688,06/04/20,6:00 PM,Gujarat,-,-,22.0,12.0,144
718,07/04/20,6:00 PM,Gujarat,-,-,25.0,13.0,165
749,08/04/20,5:00 PM,Gujarat,-,-,25.0,13.0,165
780,09/04/20,5:00 PM,Gujarat,-,-,25.0,16.0,179
811,10/04/20,5:00 PM,Gujarat,-,-,26.0,17.0,241
842,11/04/20,5:00 PM,Gujarat,-,-,31.0,19.0,308
873,12/04/20,5:00 PM,Gujarat,-,-,44.0,22.0,432
904,13/04/20,5:00 PM,Gujarat,-,-,47.0,26.0,539
936,14/04/20,5:00 PM,Gujarat,-,-,55.0,26.0,617
969,15/04/20,5:00 PM,Gujarat,-,-,59.0,30.0,695
1002,16/04/20,5:00 PM,Gujarat,-,-,64.0,36.0,871
1035,17/04/20,5:00 PM,Gujarat,-,-,74.0,38.0,1021
1068,18/04/20,5:00 PM,Gujarat,-,-,88.0,48.0,1272
1101,19/04/20,5:00 PM,Gujarat,-,-,94.0,58.0,1604
1134,20/04/20,5:00 PM,Gujarat,-,-,106.0,67.0,1851
1167,21/04/20,5:00 PM,Gujarat,-,-,131.0,77.0,2066
1200,22/04/20,5:00 PM,Gujarat,-,-,144.0,95.0,2272
1232,23/04/20,5:00 PM,Gujarat,-,-,179.0,103.0,2407
1264,24/04/20,5:00 PM,Gujarat,-,-,258.0,112.0,2624
1296,25/04/20,5:00 PM,Gujarat,-,-,265.0,127.0,2815
1328,26/04/20,5:00 PM,Gujarat,-,-,282.0,133.0,3071
1360,27/04/20,5:00 PM,Gujarat,-,-,313.0,151.0,3301
1392,28/04/20,5:00 PM,Gujarat,-,-,394.0,162.0,3548
1424,29/04/20,5:00 PM,Gujarat,-,-,434.0,181.0,3774
1456,30/04/20,5:00 PM,Gujarat,-,-,527.0,197.0,4082
1488,01/05/20,5:00 PM,Gujarat,-,-,613.0,214.0,4395
1520,02/05/20,5:00 PM,Gujarat,-,-,735.0,236.0,4721
1552,03/05/20,5:00 PM,Gujarat,-,-,896.0,262.0,5055
1584,04/05/20,5:00 PM,Gujarat,-,-,1042.0,290.0,5428
1616,05/05/20,5:00 PM,Gujarat,-,-,1195.0,319.0,5804
1649,06/05/20,8:00 AM,Gujarat,-,-,1381.0,368.0,6245
1682,07/05/20,8:00 AM,Gujarat,-,-,1500.0,396.0,6625
1715,08/05/20,8:00 AM,Gujarat,-,-,1709.0,425.0,7012
1748,09/05/20,8:00 AM,Gujarat,-,-,1872.0,449.0,7402
1781,10/05/20,8:00 AM,Gujarat,-,-,2091.0,472.0,7796
1814,11/05/20,8:00 AM,Gujarat,-,-,2545.0,493.0,8194
1847,12/05/20,8:00 AM,Gujarat,-,-,2780.0,513.0,8541
1880,13/05/20,8:00 AM,Gujarat,-,-,3246.0,537.0,8903
1913,14/05/20,8:00 AM,Gujarat,-,-,3562.0,566.0,9267
1946,15/05/20,8:00 AM,Gujarat,-,-,3753.0,586.0,9591
1979,16/05/20,8:00 AM,Gujarat,-,-,4035.0,606.0,9931
2012,17/05/20,8:00 AM,Gujarat,-,-,4308.0,625.0,10988
2045,18/05/20,8:00 AM,Gujarat,-,-,4499.0,659.0,11379
2078,19/05/20,8:00 AM,Gujarat,-,-,4804.0,694.0,11745
2111,20/05/20,8:00 AM,Gujarat,-,-,5043.0,719.0,12140
