Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
77,09/03/20,6:00 PM,Maharashtra,2,0,0.0,0.0,2
92,10/03/20,6:00 PM,Maharashtra,5,0,0.0,0.0,5
98,11/03/20,6:00 PM,Maharashtra,2,0,0.0,0.0,2
121,12/03/20,6:00 PM,Maharashtra,11,0,0.0,0.0,11
134,13/03/20,6:00 PM,Maharashtra,14,0,0.0,0.0,14
147,14/03/20,6:00 PM,Maharashtra,14,0,0.0,0.0,14
154,15/03/20,6:00 PM,Maharashtra,32,0,0.0,0.0,32
168,16/03/20,6:00 PM,Maharashtra,32,0,0.0,0.0,32
183,17/03/20,6:00 PM,Maharashtra,36,3,0.0,1.0,39
198,18/03/20,6:00 PM,Maharashtra,39,3,0.0,1.0,42
216,19/03/20,6:00 PM,Maharashtra,44,3,0.0,1.0,47
236,20/03/20,6:00 PM,Maharashtra,49,3,0.0,1.0,52
258,21/03/20,6:00 PM,Maharashtra,60,3,0.0,1.0,63
281,22/03/20,6:00 PM,Maharashtra,64,3,0.0,2.0,67
304,23/03/20,6:00 PM,Maharashtra,71,3,0.0,2.0,74
327,24/03/20,6:00 PM,Maharashtra,86,3,0.0,2.0,89
351,25/03/20,6:00 PM,Maharashtra,125,3,1.0,3.0,128
381,26/03/20,6:00 PM,Maharashtra,121,3,1.0,3.0,124
408,27/03/20,10:00 AM,Maharashtra,127,3,15.0,4.0,130
435,28/03/20,6:00 PM,Maharashtra,177,3,25.0,5.0,180
462,29/03/20,7:30 PM,Maharashtra,-,-,25.0,6.0,186
489,30/03/20,9:30 PM,Maharashtra,-,-,25.0,8.0,198
517,31/03/20,8:30 PM,Maharashtra,-,-,39.0,9.0,216
547,01/04/20,7:30 PM,Maharashtra,-,-,39.0,9.0,302
576,02/04/20,6:00 PM,Maharashtra,-,-,42.0,13.0,335
606,03/04/20,6:00 PM,Maharashtra,-,-,42.0,16.0,335
637,04/04/20,6:00 PM,Maharashtra,-,-,42.0,24.0,490
667,05/04/20,6:00 PM,Maharashtra,-,-,42.0,24.0,490
697,06/04/20,6:00 PM,Maharashtra,-,-,56.0,45.0,748
727,07/04/20,6:00 PM,Maharashtra,-,-,56.0,48.0,868
758,08/04/20,5:00 PM,Maharashtra,-,-,79.0,64.0,1018
789,09/04/20,5:00 PM,Maharashtra,-,-,117.0,72.0,1135
820,10/04/20,5:00 PM,Maharashtra,-,-,125.0,97.0,1364
851,11/04/20,5:00 PM,Maharashtra,-,-,188.0,110.0,1574
882,12/04/20,5:00 PM,Maharashtra,-,-,208.0,127.0,1761
913,13/04/20,5:00 PM,Maharashtra,-,-,217.0,149.0,1985
945,14/04/20,5:00 PM,Maharashtra,-,-,229.0,160.0,2337
978,15/04/20,5:00 PM,Maharashtra,-,-,259.0,178.0,2687
1011,16/04/20,5:00 PM,Maharashtra,-,-,295.0,187.0,2919
1044,17/04/20,5:00 PM,Maharashtra,-,-,300.0,194.0,3205
1077,18/04/20,5:00 PM,Maharashtra,-,-,331.0,201.0,3323
1110,19/04/20,5:00 PM,Maharashtra,-,-,365.0,211.0,3651
1143,20/04/20,5:00 PM,Maharashtra,-,-,507.0,223.0,4203
1176,21/04/20,5:00 PM,Maharashtra,-,-,572.0,232.0,4669
1209,22/04/20,5:00 PM,Maharashtra,-,-,722.0,251.0,5221
1241,23/04/20,5:00 PM,Maharashtra,-,-,789.0,269.0,5652
1273,24/04/20,5:00 PM,Maharashtra,-,-,840.0,283.0,6430
1305,25/04/20,5:00 PM,Maharashtra,-,-,957.0,301.0,6817
1337,26/04/20,5:00 PM,Maharashtra,-,-,1076.0,323.0,7628
1369,27/04/20,5:00 PM,Maharashtra,-,-,1188.0,342.0,8068
1401,28/04/20,5:00 PM,Maharashtra,-,-,1282.0,369.0,8590
1433,29/04/20,5:00 PM,Maharashtra,-,-,1388.0,400.0,9318
1465,30/04/20,5:00 PM,Maharashtra,-,-,1593.0,432.0,9915
1497,01/05/20,5:00 PM,Maharashtra,-,-,1773.0,459.0,10498
1529,02/05/20,5:00 PM,Maharashtra,-,-,1879.0,485.0,11506
1561,03/05/20,5:00 PM,Maharashtra,-,-,2000.0,521.0,12296
1593,04/05/20,5:00 PM,Maharashtra,-,-,2115.0,548.0,12974
1625,05/05/20,5:00 PM,Maharashtra,-,-,2465.0,583.0,14541
1658,06/05/20,8:00 AM,Maharashtra,-,-,2819.0,617.0,15525
1691,07/05/20,8:00 AM,Maharashtra,-,-,3094.0,651.0,16758
1724,08/05/20,8:00 AM,Maharashtra,-,-,3301.0,694.0,17974
1757,09/05/20,8:00 AM,Maharashtra,-,-,3470.0,731.0,19063
1790,10/05/20,8:00 AM,Maharashtra,-,-,3800.0,779.0,20228
1823,11/05/20,8:00 AM,Maharashtra,-,-,4199.0,832.0,22171
1856,12/05/20,8:00 AM,Maharashtra,-,-,4786.0,868.0,23401
1889,13/05/20,8:00 AM,Maharashtra,-,-,5125.0,921.0,24427
1922,14/05/20,8:00 AM,Maharashtra,-,-,5547.0,975.0,25922
1955,15/05/20,8:00 AM,Maharashtra,-,-,6059.0,1019.0,27524
1988,16/05/20,8:00 AM,Maharashtra,-,-,6564.0,1068.0,29100
2021,17/05/20,8:00 AM,Maharashtra,-,-,7088.0,1135.0,30706
2054,18/05/20,8:00 AM,Maharashtra,-,-,7688.0,1198.0,33053
2087,19/05/20,8:00 AM,Maharashtra,-,-,8437.0,1249.0,35058
2120,20/05/20,8:00 AM,Maharashtra,-,-,9639.0,1325.0,37136
