Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
62,07/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
68,08/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
80,09/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
95,10/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
106,11/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
117,12/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
130,13/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
143,14/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
157,15/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
172,16/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
187,17/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
203,18/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
221,19/03/20,6:00 PM,Tamil Nadu,2,0,1.0,0.0,2
241,20/03/20,6:00 PM,Tamil Nadu,3,0,1.0,0.0,3
263,21/03/20,6:00 PM,Tamil Nadu,3,0,1.0,0.0,3
286,22/03/20,6:00 PM,Tamil Nadu,5,2,1.0,0.0,7
309,23/03/20,6:00 PM,Tamil Nadu,7,2,1.0,0.0,9
333,24/03/20,6:00 PM,Tamil Nadu,13,2,1.0,0.0,15
358,25/03/20,6:00 PM,Tamil Nadu,16,2,1.0,0.0,18
388,26/03/20,6:00 PM,Tamil Nadu,20,6,1.0,1.0,26
415,27/03/20,10:00 AM,Tamil Nadu,23,6,1.0,1.0,29
442,28/03/20,6:00 PM,Tamil Nadu,34,6,2.0,1.0,40
469,29/03/20,7:30 PM,Tamil Nadu,-,-,4.0,1.0,49
496,30/03/20,9:30 PM,Tamil Nadu,-,-,4.0,1.0,67
524,31/03/20,8:30 PM,Tamil Nadu,-,-,4.0,1.0,74
