Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
5/5/2020,5:00 PM,Andaman and Nicobar Islands,-,-,32,0,33
5/5/2020,5:00 PM,Andhra Pradesh,-,-,589,36,1717
5/5/2020,5:00 PM,Arunachal Pradesh,-,-,1,0,1
5/5/2020,5:00 PM,Assam,-,-,32,1,43
5/5/2020,5:00 PM,Bihar,-,-,130,4,529
5/5/2020,5:00 PM,Chandigarh,-,-,21,1,102
5/5/2020,5:00 PM,Chhattisgarh,-,-,36,0,58
5/5/2020,5:00 PM,Delhi,-,-,1431,64,4898
5/5/2020,5:00 PM,Goa,-,-,7,0,7
5/5/2020,5:00 PM,Gujarat,-,-,1195,319,5804
5/5/2020,5:00 PM,Haryana,-,-,254,6,517
5/5/2020,5:00 PM,Himachal Pradesh,-,-,38,1,41
5/5/2020,5:00 PM,Jammu and Kashmir,-,-,303,8,726
5/5/2020,5:00 PM,Jharkhand,-,-,27,3,115
5/5/2020,5:00 PM,Karnataka,-,-,324,28,659
5/5/2020,5:00 PM,Kerala,-,-,462,4,500
5/5/2020,5:00 PM,Ladakh,-,-,17,0,41
5/5/2020,5:00 PM,Madhya Pradesh,-,-,1000,176,3049
5/5/2020,5:00 PM,Maharashtra,-,-,2465,583,14541
5/5/2020,5:00 PM,Manipur,-,-,2,0,2
5/5/2020,5:00 PM,Meghalaya,-,-,10,1,12
5/5/2020,5:00 PM,Mizoram,-,-,0,0,1
5/5/2020,5:00 PM,Odisha,-,-,60,1,170
5/5/2020,5:00 PM,Puducherry,-,-,6,0,9
5/5/2020,5:00 PM,Punjab,-,-,128,23,1233
5/5/2020,5:00 PM,Rajasthan,-,-,1394,77,3061
5/5/2020,5:00 PM,Tamil Nadu,-,-,1409,31,3550
5/5/2020,5:00 PM,Telengana,-,-,585,29,1085
5/5/2020,5:00 PM,Tripura,-,-,2,0,29
5/5/2020,5:00 PM,Uttarakhand,-,-,39,1,60
5/5/2020,5:00 PM,Uttar Pradesh,-,-,944,53,2859
5/5/2020,5:00 PM,West Bengal,-,-,218,133,1259
